epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,19888.8,1.24548,1.33702,1.17309,0.71736,0.61602,0.68441,0.32747,0.21018,0.4169,0.2201,0.001189,0.001189,0.001189
91,20132.7,0.88377,0.88048,0.90695,0.68442,0.64078,0.68457,0.32579,0.21217,0.37912,0.22206,0.00109,0.00109,0.00109
92,20344.8,0.87994,0.8783,0.90965,0.67178,0.64913,0.67599,0.32991,0.2117,0.33994,0.22101,0.000991,0.000991,0.000991
93,20557.1,0.84155,0.87727,0.88275,0.70626,0.6246,0.69768,0.33676,0.21199,0.33769,0.22109,0.000892,0.000892,0.000892
94,20768.3,0.82692,0.81357,0.8616,0.71412,0.63107,0.70211,0.33564,0.21157,0.3224,0.22054,0.000793,0.000793,0.000793
95,20980.4,0.86424,0.84854,0.8978,0.71835,0.63754,0.70203,0.34104,0.21134,0.32294,0.22036,0.000694,0.000694,0.000694
96,21192.2,0.84646,0.82273,0.87379,0.70355,0.64725,0.69886,0.3357,0.21183,0.31606,0.22088,0.000595,0.000595,0.000595
97,21403.9,0.83657,0.82329,0.87372,0.70746,0.64176,0.7015,0.34065,0.21134,0.31418,0.22066,0.000496,0.000496,0.000496
98,21615.7,0.8628,0.78745,0.88937,0.72453,0.64691,0.70663,0.34195,0.2104,0.31457,0.21992,0.000397,0.000397,0.000397
99,21827,0.81059,0.78266,0.86283,0.72275,0.64401,0.70178,0.34224,0.20966,0.30307,0.21937,0.000298,0.000298,0.000298
100,22039.3,0.87544,0.84493,0.92829,0.72752,0.65049,0.70308,0.34272,0.2096,0.30266,0.21905,0.000199,0.000199,0.000199
